Knot,Ropelength,Writhe,Average Crossing Number
12a577,103.70199,11.84972,46.33059602
12a578,107.30684,12.03141,47.70376824
12a579,107.2675,0.24907,47.9673206
12a580,109.06728,12.05951,44.51230189
12a581,103.87043,9.03304,47.33798647
12a582,106.34576,9.34779,46.33034712
12a583,108.48776,0.03817,49.68550744
12a584,110.5206,4.69604,46.23885088
12a585,108.84164,2.38471,47.26798544
12a586,109.77391,21.02071,48.78445315
12a587,107.9295,16.7768,49.0954025
12a588,105.85213,7.0738,50.55590741
12a589,109.61397,12.0206,49.01992723
12a590,106.00552,16.78846,46.46584324
12a591,105.67463,14.0329,46.63305104
12a592,107.25631,13.96445,50.48554419
12a593,106.99115,0.04829,49.11442799
12a594,105.92452,9.09551,45.75193292
12a595,105.27272,2.79916,47.51255983
12a596,105.91004,6.55622,43.43184363
12a597,109.06843,2.73339,47.03385031
12a598,107.70374,6.97046,48.76080882
12a599,106.15542,11.92956,48.51549846
12a600,106.49578,13.98213,47.25749091
12a601,106.71505,11.06221,47.40926689
12a602,107.27815,2.04175,49.90985088
12a603,107.27661,4.78937,49.86517273
12a604,106.21952,6.88315,50.45145818
12a605,107.40574,2.43512,47.3630025
12a606,106.93124,0.17683,49.65558427
12a607,109.36484,11.99501,49.83351134
12a608,108.16925,9.12334,49.26953668
12a609,106.18713,9.23771,50.20029467
12a610,105.78617,18.14128,48.02695424
12a611,108.54435,13.87298,49.77038941
12a612,105.56376,9.77939,49.40178844
12a613,108.8289,9.05684,48.4799147
12a614,106.15734,6.945,50.21512716
12a615,105.32211,20.99206,50.54846997
12a616,107.10788,11.84034,50.94902509
12a617,107.5987,2.26639,49.7074053
12a618,109.26898,11.87827,50.35750999
12a619,108.36041,11.0628,46.32287583
12a620,106.73449,11.91083,50.59828068
12a621,105.29211,4.94322,48.72350506
12a622,107.49783,2.10477,49.98344723
12a623,107.34932,13.9716,49.72602072
12a624,105.6444,9.06682,49.71578725
12a625,107.59996,2.06517,48.31257993
12a626,105.99953,6.98001,50.27057065
12a627,107.42231,0.03516,50.86021885
12a628,107.59187,9.0544,48.53093911
12a629,107.60366,0.03473,49.78912579
12a630,108.03224,4.91451,50.53005642
12a631,109.12271,0.1115,50.90082877
12a632,107.34992,4.42161,47.77123775
12a633,109.57691,9.09514,50.75301467
12a634,108.81003,9.06134,48.00282538
12a635,108.86077,2.03419,48.13635722
12a636,105.06243,6.17957,47.73908392
12a637,107.14038,4.79419,48.60347336
12a638,104.38074,13.92436,48.86807819
12a639,109.52168,7.0981,48.63424534
12a640,106.80457,4.28778,49.11058558
12a641,107.13421,7.86079,46.97667831
12a642,107.52822,4.97558,48.52325911
12a643,104.16843,4.90385,47.9240273
12a644,105.90568,2.14481,46.48660458
12a645,105.33311,6.9955,50.51688534
12a646,107.17411,2.15687,47.81411989
12a647,106.92914,23.84969,48.07684898
12a648,108.17772,20.97521,47.99841028
12a649,105.69022,4.94383,46.64772783
12a650,107.43315,2.05243,48.26947931
12a651,106.96659,9.47267,45.15728017
12a652,107.65996,6.79953,47.65841202
12a653,110.10938,18.42084,47.6544253
12a654,110.72895,13.87299,47.87090238
12a655,109.00987,5.00682,48.61142651
12a656,108.94749,9.1833,49.632314
12a657,107.53306,2.05808,48.53694696
12a658,108.51439,5.02135,48.5716875
12a659,107.44367,20.69621,49.51310975
12a660,106.3635,16.75391,49.82701797
12a661,110.4303,13.99126,49.35399474
12a662,105.98123,0.08401,49.38541319
12a663,106.78018,2.85736,49.08463784
12a664,107.88425,9.85756,48.0426686
12a665,106.24791,6.87272,50.67479117
12a666,106.28653,7.0601,49.34013891
12a667,108.20198,2.06331,48.21192658
12a668,107.62842,2.03268,49.42660229
12a669,105.69519,0.74824,46.30855092
12a670,106.18952,2.16878,51.04670962
12a671,106.05738,11.92638,48.39305832
12a672,110.03785,6.87755,50.29628167
12a673,106.7412,4.94418,49.07669453
12a674,110.49293,0.03147,49.76982262
12a675,107.70346,11.92194,48.55013982
12a676,109.21341,8.98867,48.82166967
12a677,106.87811,9.15726,48.05505892
12a678,107.33352,5.01129,48.86906858
12a679,108.74438,17.99839,45.86065346
12a680,106.00701,7.05765,49.01756762
12a681,104.45072,9.87118,47.53099295
12a682,107.22811,6.77227,46.32914316
12a683,106.33002,9.98205,47.05891821
12a684,108.02547,7.04592,45.36438116
12a685,105.16221,13.87515,50.07942221
12a686,107.27372,14.05001,51.06349262
12a687,106.75629,6.82417,51.30636304
12a688,108.4621,12.1429,52.55973282
12a689,107.59416,6.8973,47.75462261
12a690,105.437,4.08937,45.52122627
12a691,105.27923,4.29911,46.11857855
12a692,104.86897,11.91197,47.6625332
12a693,107.83634,9.79914,48.27679654
